student_id,academic_year,semester,avg_score,failed_subjects,improvement_flag,performance_band
S100000,2020-21,1,90.66,0,True,High
S100001,2021-22,2,55.02,0,False,Medium
S100002,2019-20,2,85.23,1,True,High
S100003,2019-20,1,82.62,1,True,High
S100004,2021-22,2,91.56,1,True,High
S100005,2020-21,1,67.61,2,True,Medium
S100006,2022-23,1,53.17,0,False,Medium
S100007,2022-23,2,95.0,0,True,High
S100008,2019-20,1,59.98,0,False,Medium
S100009,2020-21,2,52.8,3,False,Medium
S100010,2022-23,2,62.15,0,True,Medium
S100011,2020-21,1,50.27,3,False,Medium
S100012,2021-22,1,72.89,1,True,High
S100013,2019-20,1,55.91,1,False,Medium
S100014,2021-22,1,60.69,0,True,Medium
S100015,2021-22,1,79.52,0,True,High
S100016,2021-22,1,74.36,0,True,High
S100017,2020-21,1,65.23,0,True,Medium
S100018,2022-23,1,67.56,2,True,Medium
S100019,2021-22,1,65.18,1,True,Medium
S100020,2019-20,1,58.53,2,False,Medium
S100021,2020-21,2,64.96,0,True,Medium
S100022,2022-23,2,72.36,0,True,High
S100023,2021-22,1,63.11,1,True,Medium
S100024,2019-20,1,71.3,0,True,High
S100025,2021-22,1,52.45,2,False,Medium
S100026,2022-23,1,55.94,1,False,Medium
S100027,2022-23,1,53.99,0,False,Medium
S100028,2021-22,2,56.52,1,False,Medium
S100029,2021-22,1,84.31,1,True,High
S100030,2020-21,1,75.89,0,True,High
S100031,2022-23,2,48.85,0,False,Low
S100032,2022-23,1,71.56,0,True,High
S100033,2021-22,1,59.14,0,False,Medium
S100034,2019-20,2,54.76,1,False,Medium
S100035,2021-22,1,42.71,0,False,Low
S100036,2021-22,1,79.58,1,True,High
S100037,2022-23,2,44.54,0,False,Low
S100038,2020-21,1,64.22,2,True,Medium
S100039,2021-22,2,50.81,3,False,Medium
S100040,2019-20,1,76.64,1,True,High
S100041,2019-20,2,59.98,0,False,Medium
S100042,2021-22,2,62.98,0,True,Medium
S100043,2019-20,1,63.49,0,True,Medium
S100044,2019-20,2,69.54,0,True,Medium
S100045,2021-22,2,65.2,0,True,Medium
S100046,2019-20,1,64.35,2,True,Medium
S100047,2019-20,2,57.22,0,False,Medium
S100048,2021-22,2,41.38,0,False,Low
S100049,2022-23,1,48.22,0,False,Low
S100050,2020-21,2,75.78,2,True,High
S100051,2020-21,1,60.41,0,True,Medium
S100052,2022-23,2,55.04,0,False,Medium
S100053,2021-22,2,43.91,2,False,Low
S100054,2022-23,2,39.21,0,False,Low
S100055,2020-21,2,54.45,1,False,Medium
S100056,2020-21,1,78.32,1,True,High
S100057,2020-21,2,56.64,0,False,Medium
S100058,2020-21,1,71.01,0,True,High
S100059,2021-22,1,55.95,2,False,Medium
S100060,2020-21,2,74.58,0,True,High
S100061,2020-21,1,59.72,0,False,Medium
S100062,2021-22,2,46.52,0,False,Low
S100063,2022-23,1,60.97,0,True,Medium
S100064,2021-22,2,92.51,0,True,High
S100065,2020-21,1,91.85,2,True,High
S100066,2019-20,1,72.3,2,True,High
S100067,2021-22,2,62.94,0,True,Medium
S100068,2021-22,2,69.56,0,True,Medium
S100069,2022-23,1,69.75,0,True,Medium
S100070,2020-21,1,64.4,2,True,Medium
S100071,2019-20,1,71.61,0,True,High
S100072,2021-22,1,68.12,0,True,Medium
S100073,2021-22,1,60.26,2,True,Medium
S100074,2021-22,1,47.07,0,False,Low
S100075,2019-20,2,58.1,0,False,Medium
S100076,2021-22,2,76.99,0,True,High
S100077,2021-22,2,64.53,1,True,Medium
S100078,2019-20,1,69.5,1,True,Medium
S100079,2021-22,1,60.75,1,True,Medium
S100080,2019-20,2,49.11,0,False,Low
S100081,2022-23,2,61.42,0,True,Medium
S100082,2019-20,2,49.66,1,False,Low
S100083,2022-23,2,48.71,2,False,Low
S100084,2019-20,2,83.08,0,True,High
S100085,2020-21,2,58.7,0,False,Medium
S100086,2021-22,2,53.88,1,False,Medium
S100087,2022-23,2,89.27,0,True,High
S100088,2021-22,1,77.22,0,True,High
S100089,2021-22,2,59.43,0,False,Medium
S100090,2019-20,2,71.41,3,True,High
S100091,2020-21,2,61.46,1,True,Medium
S100092,2019-20,1,54.61,0,False,Medium
S100093,2021-22,2,72.12,2,True,High
S100094,2019-20,1,60.14,0,True,Medium
S100095,2022-23,1,66.13,0,True,Medium
S100096,2020-21,1,80.32,0,True,High
S100097,2021-22,1,78.67,0,True,High
S100098,2019-20,1,56.75,2,False,Medium
S100099,2022-23,2,72.29,0,True,High
S100100,2020-21,2,48.08,0,False,Low
S100101,2019-20,1,71.76,2,True,High
S100102,2019-20,1,67.23,0,True,Medium
S100103,2021-22,1,70.68,0,True,High
S100104,2022-23,1,60.54,0,True,Medium
S100105,2020-21,1,95.0,3,True,High
S100106,2019-20,2,51.48,0,False,Medium
S100107,2020-21,1,79.57,0,True,High
S100108,2022-23,1,49.52,0,False,Low
S100109,2021-22,1,72.57,3,True,High
S100110,2021-22,2,73.64,2,True,High
S100111,2021-22,2,65.82,0,True,Medium
S100112,2020-21,2,57.57,2,False,Medium
S100113,2020-21,1,67.12,2,True,Medium
S100114,2019-20,1,69.01,1,True,Medium
S100115,2022-23,2,91.85,1,True,High
S100116,2022-23,2,51.91,0,False,Medium
S100117,2022-23,2,56.66,1,False,Medium
S100118,2020-21,1,69.27,1,True,Medium
S100119,2021-22,1,61.16,0,True,Medium
S100120,2022-23,2,63.5,0,True,Medium
S100121,2019-20,2,81.06,0,True,High
S100122,2020-21,1,30.0,2,False,Low
S100123,2021-22,2,56.03,1,False,Medium
S100124,2022-23,1,38.86,0,False,Low
S100125,2021-22,2,47.06,2,False,Low
S100126,2019-20,1,95.0,1,True,High
S100127,2022-23,1,73.97,2,True,High
S100128,2022-23,2,79.27,0,True,High
S100129,2021-22,1,63.79,0,True,Medium
S100130,2020-21,1,76.38,1,True,High
S100131,2021-22,2,38.5,0,False,Low
S100132,2019-20,1,80.57,0,True,High
S100133,2021-22,2,52.7,0,False,Medium
S100134,2021-22,1,57.03,1,False,Medium
S100135,2022-23,2,72.58,0,True,High
S100136,2020-21,1,69.75,0,True,Medium
S100137,2020-21,1,66.27,0,True,Medium
S100138,2020-21,2,44.55,0,False,Low
S100139,2020-21,2,66.5,2,True,Medium
S100140,2021-22,1,79.41,0,True,High
S100141,2022-23,2,57.01,0,False,Medium
S100142,2022-23,2,84.72,0,True,High
S100143,2020-21,1,51.91,0,False,Medium
S100144,2021-22,2,65.1,2,True,Medium
S100145,2020-21,1,88.03,3,True,High
S100146,2020-21,2,54.78,0,False,Medium
S100147,2022-23,1,80.81,0,True,High
S100148,2022-23,2,94.62,0,True,High
S100149,2020-21,1,67.57,0,True,Medium
S100150,2021-22,1,57.09,1,False,Medium
S100151,2020-21,2,53.41,0,False,Medium
S100152,2022-23,2,84.57,1,True,High
S100153,2022-23,1,84.15,1,True,High
S100154,2021-22,2,86.74,0,True,High
S100155,2020-21,1,64.51,1,True,Medium
S100156,2020-21,1,80.57,2,True,High
S100157,2019-20,2,64.27,0,True,Medium
S100158,2020-21,2,51.75,2,False,Medium
S100159,2021-22,2,81.86,1,True,High
S100160,2022-23,1,89.51,0,True,High
S100161,2019-20,2,49.69,2,False,Low
S100162,2021-22,2,49.41,1,False,Low
S100163,2021-22,2,65.6,0,True,Medium
S100164,2019-20,1,79.34,0,True,High
S100165,2020-21,2,47.99,2,False,Low
S100166,2019-20,2,68.41,0,True,Medium
S100167,2021-22,1,56.14,0,False,Medium
S100168,2020-21,2,75.51,0,True,High
S100169,2022-23,1,53.03,0,False,Medium
S100170,2019-20,2,76.58,1,True,High
S100171,2021-22,1,62.63,0,True,Medium
S100172,2020-21,1,50.94,0,False,Medium
S100173,2021-22,1,65.96,2,True,Medium
S100174,2020-21,2,35.93,1,False,Low
S100175,2020-21,2,56.61,2,False,Medium
S100176,2019-20,1,70.06,0,True,High
S100177,2022-23,2,38.42,1,False,Low
S100178,2020-21,2,30.0,1,False,Low
S100179,2021-22,2,30.0,0,False,Low
S100180,2020-21,1,84.91,2,True,High
S100181,2022-23,2,63.85,0,True,Medium
S100182,2021-22,1,57.01,0,False,Medium
S100183,2020-21,1,79.18,1,True,High
S100184,2020-21,2,58.93,0,False,Medium
S100185,2019-20,2,69.03,1,True,Medium
S100186,2022-23,1,65.39,0,True,Medium
S100187,2020-21,2,57.94,1,False,Medium
S100188,2022-23,2,69.41,0,True,Medium
S100189,2020-21,1,76.6,0,True,High
S100190,2021-22,2,62.23,0,True,Medium
S100191,2022-23,1,58.09,0,False,Medium
S100192,2021-22,1,59.86,1,False,Medium
S100193,2022-23,2,30.53,2,False,Low
S100194,2021-22,1,69.25,0,True,Medium
S100195,2020-21,2,46.86,0,False,Low
S100196,2021-22,2,74.45,0,True,High
S100197,2021-22,2,63.64,1,True,Medium
S100198,2020-21,1,66.58,0,True,Medium
S100199,2022-23,1,75.5,0,True,High
S100200,2021-22,1,51.1,0,False,Medium
S100201,2019-20,2,70.54,0,True,High
S100202,2019-20,2,69.01,0,True,Medium
S100203,2021-22,1,62.23,0,True,Medium
S100204,2021-22,2,51.08,0,False,Medium
S100205,2021-22,2,73.93,0,True,High
S100206,2022-23,1,75.55,0,True,High
S100207,2020-21,1,66.7,0,True,Medium
S100208,2019-20,1,48.95,0,False,Low
S100209,2019-20,2,57.09,0,False,Medium
S100210,2022-23,2,64.1,1,True,Medium
S100211,2021-22,2,75.33,2,True,High
S100212,2021-22,1,41.25,1,False,Low
S100213,2020-21,1,56.54,0,False,Medium
S100214,2020-21,1,58.96,1,False,Medium
S100215,2019-20,1,63.75,0,True,Medium
S100216,2020-21,2,45.48,0,False,Low
S100217,2019-20,1,61.74,0,True,Medium
S100218,2022-23,2,60.34,0,True,Medium
S100219,2021-22,1,49.44,0,False,Low
