student_id,academic_year,total_days,days_present,attendance_pct,chronic_absentee,attendance_trend
S100000,2020-21,180,176,97.78,False,Stable
S100001,2021-22,180,123,68.33,True,Improving
S100002,2019-20,180,140,77.78,False,Stable
S100003,2019-20,180,96,53.33,True,Declining
S100004,2021-22,180,167,92.78,False,Stable
S100005,2020-21,180,95,52.78,True,Stable
S100006,2022-23,180,156,86.67,False,Stable
S100007,2022-23,180,69,38.33,True,Improving
S100008,2019-20,180,93,51.67,True,Stable
S100009,2020-21,180,104,57.78,True,Improving
S100010,2022-23,180,122,67.78,True,Stable
S100011,2020-21,180,72,40.0,True,Stable
S100012,2021-22,180,84,46.67,True,Improving
S100013,2019-20,180,103,57.22,True,Stable
S100014,2021-22,180,156,86.67,False,Declining
S100015,2021-22,180,133,73.89,True,Stable
S100016,2021-22,180,175,97.22,False,Declining
S100017,2020-21,180,83,46.11,True,Declining
S100018,2022-23,180,128,71.11,True,Declining
S100019,2021-22,180,133,73.89,True,Declining
S100020,2019-20,180,162,90.0,False,Stable
S100021,2020-21,180,106,58.89,True,Stable
S100022,2022-23,180,150,83.33,False,Declining
S100023,2021-22,180,109,60.56,True,Stable
S100024,2019-20,180,175,97.22,False,Improving
S100025,2021-22,180,95,52.78,True,Improving
S100026,2022-23,180,92,51.11,True,Declining
S100027,2022-23,180,151,83.89,False,Stable
S100028,2021-22,180,163,90.56,False,Improving
S100029,2021-22,180,166,92.22,False,Declining
S100030,2020-21,180,62,34.44,True,Stable
S100031,2022-23,180,90,50.0,True,Stable
S100032,2022-23,180,119,66.11,True,Improving
S100033,2021-22,180,88,48.89,True,Improving
S100034,2019-20,180,103,57.22,True,Improving
S100035,2021-22,180,104,57.78,True,Stable
S100036,2021-22,180,175,97.22,False,Declining
S100037,2022-23,180,173,96.11,False,Declining
S100038,2020-21,180,167,92.78,False,Improving
S100039,2021-22,180,101,56.11,True,Declining
S100040,2019-20,180,80,44.44,True,Improving
S100041,2019-20,180,91,50.56,True,Improving
S100042,2021-22,180,87,48.33,True,Declining
S100043,2019-20,180,144,80.0,False,Improving
S100044,2019-20,180,106,58.89,True,Declining
S100045,2021-22,180,158,87.78,False,Improving
S100046,2019-20,180,153,85.0,False,Improving
S100047,2019-20,180,179,99.44,False,Stable
S100048,2021-22,180,106,58.89,True,Improving
S100049,2022-23,180,76,42.22,True,Improving
S100050,2020-21,180,88,48.89,True,Stable
S100051,2020-21,180,107,59.44,True,Stable
S100052,2022-23,180,61,33.89,True,Declining
S100053,2021-22,180,92,51.11,True,Declining
S100054,2022-23,180,177,98.33,False,Stable
S100055,2020-21,180,122,67.78,True,Improving
S100056,2020-21,180,127,70.56,True,Stable
S100057,2020-21,180,172,95.56,False,Declining
S100058,2020-21,180,98,54.44,True,Improving
S100059,2021-22,180,148,82.22,False,Stable
S100060,2020-21,180,64,35.56,True,Declining
S100061,2020-21,180,178,98.89,False,Stable
S100062,2021-22,180,127,70.56,True,Stable
S100063,2022-23,180,111,61.67,True,Improving
