student_id,academic_year,dropout_flag,dropout_reason,intervention_required,retention_status
S100000,2020-21,False,N/A,False,Retained
S100001,2021-22,False,N/A,False,Retained
S100002,2019-20,False,N/A,False,Retained
S100003,2019-20,True,Personal Reasons,True,Dropped
S100004,2021-22,False,N/A,False,Retained
S100005,2020-21,False,N/A,False,Retained
S100006,2022-23,False,N/A,False,Retained
S100007,2022-23,False,N/A,False,Retained
S100008,2019-20,False,N/A,False,Retained
S100009,2020-21,False,N/A,False,Retained
S100010,2022-23,True,Financial Issues,True,Dropped
S100011,2020-21,False,N/A,False,Retained
S100012,2021-22,False,N/A,False,Retained
S100013,2019-20,False,N/A,False,Retained
S100014,2021-22,False,N/A,False,Retained
S100015,2021-22,False,N/A,False,Retained
S100016,2021-22,False,N/A,False,Retained
S100017,2020-21,False,N/A,False,Retained
S100018,2022-23,False,N/A,False,Retained
S100019,2021-22,False,N/A,False,Retained
S100020,2019-20,False,N/A,False,Retained
S100021,2020-21,False,N/A,False,Retained
S100022,2022-23,False,N/A,False,Retained
S100023,2021-22,False,N/A,False,Retained
S100024,2019-20,False,N/A,False,Retained
S100025,2021-22,False,N/A,False,Retained
S100026,2022-23,False,N/A,False,Retained
S100027,2022-23,False,N/A,False,Retained
S100028,2021-22,False,N/A,False,Retained
S100029,2021-22,False,N/A,False,Retained
S100030,2020-21,False,N/A,False,Retained
S100031,2022-23,True,Low Attendance,True,Dropped
S100032,2022-23,False,N/A,False,Retained
S100033,2021-22,False,N/A,False,Retained
S100034,2019-20,False,N/A,False,Retained
S100035,2021-22,False,N/A,False,Retained
S100036,2021-22,False,N/A,False,Retained
S100037,2022-23,False,N/A,False,Retained
S100038,2020-21,False,N/A,False,Retained
S100039,2021-22,False,N/A,False,Retained
S100040,2019-20,True,Personal Reasons,True,Dropped
S100041,2019-20,False,N/A,False,Retained
S100042,2021-22,False,N/A,False,Retained
S100043,2019-20,False,N/A,False,Retained
S100044,2019-20,False,N/A,False,Retained
S100045,2021-22,False,N/A,False,Retained
S100046,2019-20,False,N/A,False,Retained
S100047,2019-20,False,N/A,False,Retained
S100048,2021-22,True,Personal Reasons,True,Dropped
S100049,2022-23,False,N/A,False,Retained
S100050,2020-21,False,N/A,False,Retained
S100051,2020-21,False,N/A,False,Retained
S100052,2022-23,False,N/A,False,Retained
S100053,2021-22,False,N/A,False,Retained
S100054,2022-23,False,N/A,False,Retained
S100055,2020-21,False,N/A,False,Retained
S100056,2020-21,False,N/A,False,Retained
S100057,2020-21,False,N/A,False,Retained
S100058,2020-21,False,N/A,False,Retained
S100059,2021-22,False,N/A,False,Retained
S100060,2020-21,False,N/A,False,Retained
S100061,2020-21,False,N/A,False,Retained
S100062,2021-22,False,N/A,False,Retained
S100063,2022-23,False,N/A,False,Retained
S100064,2021-22,False,N/A,False,Retained
S100065,2020-21,False,N/A,False,Retained
S100066,2019-20,False,N/A,False,Retained
S100067,2021-22,False,N/A,False,Retained
S100068,2021-22,False,N/A,False,Retained
S100069,2022-23,False,N/A,False,Retained
S100070,2020-21,False,N/A,False,Retained
S100071,2019-20,False,N/A,False,Retained
S100072,2021-22,False,N/A,False,Retained
S100073,2021-22,False,N/A,False,Retained
S100074,2021-22,True,Low Attendance,True,Dropped
S100075,2019-20,False,N/A,False,Retained
S100076,2021-22,False,N/A,False,Retained
S100077,2021-22,False,N/A,False,Retained
S100078,2019-20,False,N/A,False,Retained
S100079,2021-22,False,N/A,False,Retained
S100080,2019-20,True,Low Attendance,True,Dropped
S100081,2022-23,False,N/A,False,Retained
S100082,2019-20,True,Financial Issues,True,Dropped
S100083,2022-23,True,Poor Academic Performance,True,Dropped
S100084,2019-20,False,N/A,False,Retained
S100085,2020-21,False,N/A,False,Retained
S100086,2021-22,False,N/A,False,Retained
S100087,2022-23,False,N/A,False,Retained
S100088,2021-22,False,N/A,False,Retained
S100089,2021-22,True,Low Attendance,True,Dropped
S100090,2019-20,False,N/A,False,Retained
S100091,2020-21,False,N/A,False,Retained
S100092,2019-20,False,N/A,False,Retained
S100093,2021-22,False,N/A,False,Retained
S100094,2019-20,False,N/A,False,Retained
S100095,2022-23,False,N/A,False,Retained
S100096,2020-21,False,N/A,False,Retained
S100097,2021-22,False,N/A,False,Retained
S100098,2019-20,False,N/A,False,Retained
S100099,2022-23,False,N/A,False,Retained
S100100,2020-21,False,N/A,False,Retained
S100101,2019-20,False,N/A,False,Retained
S100102,2019-20,False,N/A,False,Retained
S100103,2021-22,False,N/A,False,Retained
S100104,2022-23,False,N/A,False,Retained
S100105,2020-21,False,N/A,False,Retained
S100106,2019-20,False,N/A,False,Retained
S100107,2020-21,False,N/A,False,Retained
S100108,2022-23,False,N/A,False,Retained
S100109,2021-22,True,Low Attendance,True,Dropped
S100110,2021-22,False,N/A,False,Retained
S100111,2021-22,False,N/A,False,Retained
S100112,2020-21,False,N/A,False,Retained
S100113,2020-21,False,N/A,False,Retained
