student_id,family_income_band,parental_education,access_to_internet,working_part_time,scholarship_status
S100000,Middle,Post Graduate,False,False,True
S100001,High,Graduate,True,False,False
S100002,Middle,High School,False,False,False
S100003,Low,High School,False,True,False
S100004,Low,Post Graduate,True,False,False
S100005,Middle,No Formal Education,True,False,True
S100006,Low,Graduate,True,False,False
S100007,Middle,No Formal Education,True,False,False
S100008,Low,Graduate,False,False,False
S100009,Low,High School,False,False,True
S100010,Low,High School,True,True,True
S100011,Middle,Post Graduate,False,True,True
S100012,Low,No Formal Education,False,False,False
S100013,Low,High School,True,False,True
S100014,Middle,Post Graduate,True,False,False
S100015,Middle,High School,True,False,True
S100016,High,Graduate,False,False,True
S100017,Low,No Formal Education,True,False,True
S100018,Low,No Formal Education,True,False,False
S100019,Middle,Graduate,False,False,False
S100020,Low,Graduate,True,False,False
S100021,Middle,No Formal Education,False,False,True
S100022,Low,Post Graduate,True,False,True
S100023,High,Post Graduate,False,False,False
S100024,Low,High School,True,True,False
S100025,Middle,Post Graduate,False,False,False
S100026,High,No Formal Education,True,True,False
S100027,High,Post Graduate,False,True,True
S100028,Middle,Graduate,False,False,False
S100029,High,No Formal Education,True,False,True
S100030,Middle,High School,False,False,False
S100031,Low,No Formal Education,False,False,False
S100032,High,No Formal Education,True,False,False
S100033,Middle,Post Graduate,True,False,False
S100034,Low,Post Graduate,False,False,False
S100035,Middle,Post Graduate,True,False,True
S100036,Middle,High School,False,False,False
S100037,High,High School,True,False,False
S100038,High,High School,False,False,False
S100039,Low,High School,True,False,False
S100040,Low,Graduate,True,True,False
S100041,Middle,No Formal Education,False,False,False
S100042,Middle,Post Graduate,True,False,False
S100043,Low,No Formal Education,True,False,True
S100044,Low,No Formal Education,False,False,True
S100045,Low,No Formal Education,True,True,False
S100046,Middle,Post Graduate,True,True,True
S100047,Low,No Formal Education,True,False,False
S100048,Low,Graduate,True,True,False
S100049,Middle,Post Graduate,False,False,True
S100050,Low,Graduate,False,False,False
S100051,Low,Post Graduate,True,False,True
S100052,High,No Formal Education,True,False,True
S100053,Middle,No Formal Education,False,False,False
S100054,Low,No Formal Education,True,False,True
S100055,High,Graduate,True,False,False
S100056,Low,No Formal Education,True,False,False
S100057,Middle,High School,True,False,False
S100058,Low,Graduate,False,False,False
S100059,Middle,High School,False,False,False
S100060,Low,Post Graduate,True,False,False
S100061,Low,High School,True,False,True
S100062,Middle,High School,True,False,True
S100063,Middle,Graduate,True,False,False
S100064,Middle,Post Graduate,True,False,False
S100065,Middle,High School,True,False,True
S100066,Middle,No Formal Education,False,True,True
S100067,Middle,No Formal Education,False,True,False
