student_id,gender,date_of_birth,region,school_id,grade_level,enrollment_year,program_type
S100000,Male,2002-10-03,East,SCH_15,7,2022,Commerce
S100001,Female,2007-12-20,West,SCH_7,9,2023,Commerce
S100002,Male,2005-06-17,West,SCH_6,9,2020,Arts
S100003,Male,2001-05-05,West,SCH_4,12,2022,Arts
S100004,Male,2002-12-08,Central,SCH_19,8,2019,Commerce
S100005,Female,2007-02-24,South,SCH_5,9,2021,Arts
S100006,Male,2008-09-08,South,SCH_3,6,2020,Commerce
S100007,Male,2000-08-03,Central,SCH_9,10,2019,Science
S100008,Male,2004-09-19,North,SCH_6,10,2023,Commerce
S100009,Female,2004-05-11,West,SCH_13,11,2021,Commerce
S100010,Male,2007-02-19,West,SCH_20,12,2020,Arts
S100011,Male,2000-06-07,North,SCH_4,8,2021,Arts
S100012,Male,2006-12-11,East,SCH_2,10,2020,Arts
S100013,Male,2001-11-16,East,SCH_4,6,2020,Science
S100014,Female,2007-10-12,South,SCH_8,8,2022,Science
S100015,Male,2004-11-11,Central,SCH_13,7,2021,Science
S100016,Female,2005-08-14,South,SCH_10,10,2021,Arts
S100017,Female,2005-01-17,East,SCH_18,9,2019,Commerce
S100018,Female,2006-08-05,North,SCH_9,6,2023,Commerce
S100019,Male,2006-11-11,South,SCH_1,12,2019,Commerce
S100020,Female,2006-04-14,West,SCH_13,12,2022,Arts
S100021,Male,2004-05-08,West,SCH_18,6,2020,Arts
S100022,Female,2004-08-23,North,SCH_15,10,2022,Science
S100023,Female,2008-03-12,East,SCH_2,11,2022,Arts
S100024,Female,2006-10-05,West,SCH_11,7,2019,Commerce
S100025,Female,2005-04-30,West,SCH_14,9,2020,Science
S100026,Female,2005-08-24,Central,SCH_15,7,2023,Science
S100027,Female,2007-08-15,South,SCH_14,7,2022,Arts
S100028,Female,2003-02-19,East,SCH_16,10,2023,Science
S100029,Female,2006-05-13,South,SCH_15,9,2020,Science
S100030,Male,2004-04-30,East,SCH_19,10,2020,Arts
